5000
x y z px py pz
-1.304520000e-02 2.406260000e-03 0.000000000e+00 -3.087005630e-02 -9.123100705e-03 2.605500971e-01
1.165410000e-02 2.588260000e-03 0.000000000e+00 4.850197607e-03 1.464247385e-03 2.397424708e-01
1.169000000e-02 2.572430000e-03 0.000000000e+00 2.128605507e-03 -2.319920204e-02 2.358980051e-01
-1.607110000e-03 -1.250630000e-02 0.000000000e+00 -4.671536901e-02 -1.953531833e-05 2.469846794e-01
-1.537280000e-03 -1.253120000e-02 0.000000000e+00 1.463017004e-02 8.008158331e-04 2.515957668e-01
-5.133340000e-03 2.515620000e-03 0.000000000e+00 -2.808210883e-02 -4.297463385e-02 2.719102945e-01
1.246830000e-02 1.510740000e-02 0.000000000e+00 3.605364915e-04 -4.636527844e-02 2.348550210e-01
1.025320000e-02 1.747140000e-02 0.000000000e+00 4.442392738e-02 3.173028152e-02 2.761494284e-01
1.767740000e-02 -4.818030000e-03 0.000000000e+00 2.850611687e-02 -3.752300735e-03 2.601516432e-01
1.761300000e-02 -4.851820000e-03 0.000000000e+00 -4.796325872e-02 -5.555754546e-04 2.574599493e-01
3.745450000e-03 -3.775720000e-03 0.000000000e+00 3.233837340e-02 2.977984457e-02 2.783972388e-01
6.072490000e-03 -4.557940000e-03 0.000000000e+00 -7.517104027e-03 1.372707079e-02 2.490100749e-01
1.271490000e-02 -1.426530000e-02 0.000000000e+00 -6.816080567e-03 1.936297043e-04 2.693662463e-01
1.188820000e-02 -5.536960000e-03 0.000000000e+00 -3.137119972e-02 1.736379148e-02 2.772700211e-01
1.189030000e-02 -5.538310000e-03 0.000000000e+00 1.045293376e-02 5.663630518e-03 2.799238571e-01
7.350510000e-03 -4.790650000e-03 0.000000000e+00 7.711239134e-03 -2.922068398e-02 2.510884714e-01
7.393490000e-03 -4.754990000e-03 0.000000000e+00 3.493996555e-02 -1.574924839e-03 2.471389502e-01
-1.602730000e-02 2.463830000e-03 0.000000000e+00 3.277468524e-02 -2.230272791e-02 2.658132861e-01
-1.457270000e-03 1.088160000e-02 0.000000000e+00 -3.964257429e-02 -1.577025950e-02 2.600409089e-01
-1.437300000e-03 1.090230000e-02 0.000000000e+00 -1.531908845e-02 1.474024177e-02 2.611378404e-01
1.961270000e-02 -2.490180000e-03 0.000000000e+00 -1.491467186e-02 -2.614000061e-02 2.557629707e-01
1.928730000e-02 1.656680000e-03 0.000000000e+00 8.196662081e-03 3.672780299e-02 2.676266776e-01
-7.673010000e-03 -6.900170000e-03 0.000000000e+00 -1.612688054e-02 -2.001393633e-02 2.529737929e-01
1.985130000e-02 -1.402290000e-02 0.000000000e+00 -1.216325723e-02 -2.164475830e-02 2.559702425e-01
1.986280000e-02 -1.394740000e-02 0.000000000e+00 -1.596655250e-02 4.289901277e-02 2.515891416e-01
1.470290000e-04 -1.758180000e-02 0.000000000e+00 2.251700340e-02 -2.640027340e-02 2.538700777e-01
-4.815490000e-03 4.592670000e-03 0.000000000e+00 -2.395560208e-03 4.264148468e-02 2.422193213e-01
-2.217140000e-03 -2.402020000e-03 0.000000000e+00 -2.519166121e-02 -1.801702885e-02 2.601847688e-01
-2.181290000e-03 -2.386490000e-03 0.000000000e+00 1.082242647e-02 8.197457096e-03 2.575820409e-01
-6.541030000e-03 -1.163560000e-03 0.000000000e+00 2.035617139e-02 -2.507496436e-02 2.545051433e-01
-6.557980000e-03 -1.123590000e-03 0.000000000e+00 1.065973232e-02 3.966916944e-02 2.553578916e-01
5.313000000e-03 1.125570000e-03 0.000000000e+00 -3.728374567e-02 -1.816883887e-02 2.643898306e-01
4.182950000e-03 1.039300000e-03 0.000000000e+00 4.867706867e-02 7.057197278e-03 2.633932224e-01
5.516660000e-03 9.666010000e-03 0.000000000e+00 2.404305374e-02 1.961642880e-02 2.602254660e-01
5.483890000e-03 9.615930000e-03 0.000000000e+00 -5.769698778e-03 -2.516345711e-02 2.580723002e-01
5.116640000e-03 -1.819300000e-03 0.000000000e+00 -1.934962553e-02 3.588063873e-02 2.702312984e-01
-2.857270000e-03 7.865420000e-03 0.000000000e+00 -1.548367550e-03 -4.189237227e-02 2.354191031e-01
1.259470000e-02 -8.184780000e-03 0.000000000e+00 2.719718135e-02 -2.815574237e-03 2.404504128e-01
1.268630000e-02 -8.176790000e-03 0.000000000e+00 4.412967716e-02 8.834320948e-03 2.336274799e-01
1.911880000e-02 -7.176090000e-04 0.000000000e+00 -3.586398127e-02 -2.681434374e-02 2.532094581e-01
1.917990000e-02 -6.955960000e-04 0.000000000e+00 3.073802701e-02 5.435470660e-04 2.513506371e-01
1.914950000e-02 -6.989550000e-04 0.000000000e+00 1.281668390e-02 2.777934060e-03 2.542704246e-01
-1.567010000e-02 1.662350000e-03 0.000000000e+00 1.462950753e-02 -2.068070789e-02 2.421937672e-01
-1.569960000e-02 1.710120000e-03 0.000000000e+00 -1.292079301e-02 -1.953200577e-02 2.459114091e-01
-7.542540000e-03 -1.371290000e-03 0.000000000e+00 2.548335603e-02 -2.005368708e-02 2.345313363e-01
-1.499930000e-02 -5.961720000e-03 0.000000000e+00 1.767943139e-02 1.301231439e-02 2.420745150e-01
1.835020000e-03 -5.316630000e-03 0.000000000e+00 -3.056265047e-03 -3.185814645e-02 2.531450997e-01
-8.246760000e-03 7.957070000e-03 0.000000000e+00 1.029913620e-02 4.543653049e-02 2.666395339e-01
-8.239810000e-03 7.920340000e-03 0.000000000e+00 1.968939982e-02 -1.909976365e-02 2.682986547e-01
-8.266360000e-03 7.914240000e-03 0.000000000e+00 -1.988124453e-02 -2.781388589e-02 2.672083483e-01
-1.797720000e-02 -7.443640000e-04 0.000000000e+00 -1.416025935e-02 -4.041279245e-03 2.616527073e-01
1.817020000e-02 3.319150000e-03 0.000000000e+00 -3.317891254e-02 -2.546461639e-02 2.658852161e-01
1.817820000e-02 3.348750000e-03 0.000000000e+00 -6.240754667e-03 4.712376067e-02 2.608860856e-01
-9.705280000e-03 1.082060000e-02 0.000000000e+00 -1.355368179e-02 -1.555181965e-02 2.742641070e-01
-1.134220000e-02 4.856240000e-03 0.000000000e+00 4.391426594e-02 -2.619271768e-02 2.617729060e-01
-1.728690000e-02 -1.712780000e-03 0.000000000e+00 -1.209265232e-02 2.188477713e-02 2.732078727e-01
-1.727780000e-02 -1.717470000e-03 0.000000000e+00 2.725955218e-02 1.804854552e-03 2.725179132e-01
-7.051910000e-03 -1.593520000e-03 0.000000000e+00 3.207668094e-02 9.852792030e-03 2.515654805e-01
1.167850000e-02 -7.802210000e-04 0.000000000e+00 1.860164886e-02 9.615707181e-03 2.769898729e-01
1.167850000e-02 -7.873120000e-04 0.000000000e+00 1.680728093e-02 -3.337832882e-02 2.753014123e-01
1.168440000e-02 -7.816740000e-04 0.000000000e+00 4.925269744e-02 -1.398734358e-03 2.737757406e-01
-7.143520000e-03 -1.619960000e-03 0.000000000e+00 -4.899062640e-02 -2.085722016e-04 2.506947497e-01
-8.722500000e-03 1.474020000e-02 0.000000000e+00 -5.485386248e-03 2.113443434e-02 2.784322574e-01
-8.723940000e-03 1.473950000e-02 0.000000000e+00 -2.175738543e-03 1.067383437e-02 2.761219815e-01
-4.248360000e-03 1.320030000e-03 0.000000000e+00 -1.500534144e-02 -2.467026384e-02 2.799077675e-01
-4.592410000e-03 5.960660000e-03 0.000000000e+00 1.079005800e-02 -2.497435710e-02 2.417612412e-01
-1.908920000e-02 -8.368260000e-03 0.000000000e+00 -1.276349360e-02 -8.945765024e-03 2.423499309e-01
-1.904410000e-02 -8.362990000e-03 0.000000000e+00 3.679954364e-02 -4.737191894e-03 2.412312311e-01
4.932000000e-03 5.456670000e-03 0.000000000e+00 -1.006782468e-02 1.548935418e-02 2.628764626e-01
-1.736620000e-02 -1.116420000e-03 0.000000000e+00 -2.930851421e-02 2.575508082e-02 2.645706019e-01
1.210120000e-02 -1.510750000e-02 0.000000000e+00 1.925876667e-03 2.426594189e-02 2.413552156e-01
1.207950000e-02 -1.509660000e-02 0.000000000e+00 2.942890221e-03 3.076992226e-02 2.379404366e-01
-1.733690000e-02 9.991940000e-04 0.000000000e+00 2.054167490e-02 2.863085852e-02 2.660158257e-01
