#BLTrackFile NTuple/Z5100
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
17.1543 31.6429 5100 0.0923297 0.238466 27.9988 66.2913 -13 1 1 0 1
3.35246 -44.2986 5100 0.0272934 -0.390447 27.9973 66.3338 -13 2 1 0 1
-12.1849 -23.8512 5100 -0.0602755 -0.18853 27.9993 66.3536 -13 3 1 0 1
2.29388 -6.14175 5100 0.0444551 -0.10216 27.9998 66.3344 -13 4 1 0 1
19.7565 1.15478 5100 0.097014 0.0326172 27.9998 66.2696 -13 5 1 0 1
-7.13377 -20.699 5100 -0.0155886 -0.158003 27.9995 66.3526 -13 6 1 0 1
4.83132 37.7588 5100 0.0520784 0.289942 27.9985 66.3364 -13 7 1 0 1
30.4891 38.8953 5100 0.147969 0.307199 27.9979 66.2611 -13 8 1 0 1
19.3895 30.6183 5100 0.0772166 0.280605 27.9985 66.2689 -13 9 1 0 1
4.11569 7.0784 5100 0.0667723 0.0605102 27.9999 66.3381 -13 10 1 0 1
1.54213 -7.04051 5100 0.0071338 -0.0532423 27.9999 66.3149 -13 11 1 0 1
0.748906 7.46296 5100 0.0746985 0.0500091 27.9999 66.3623 -13 12 1 0 1
-9.41036 -12.0987 5100 0.0134395 -0.0977943 27.9998 66.3821 -13 13 1 0 1
-16.021 -15.0783 5100 -0.0453763 -0.161871 27.9995 66.3825 -13 14 1 0 1
-11.7516 -5.85326 5100 -0.0332422 -0.129083 27.9997 66.3652 -13 15 1 0 1
10.9075 -11.0409 5100 0.0695008 -0.0858821 27.9998 66.3026 -13 16 1 0 1
19.1301 -2.81794 5100 0.0828132 0.0035678 27.9999 66.2641 -13 17 1 0 1
19.358 12.6604 5100 0.0917054 0.109394 27.9996 66.2699 -13 18 1 0 1
13.5906 24.3954 5100 0.0531254 0.225446 27.999 66.282 -13 19 1 0 1
4.10568 14.8975 5100 0.0497015 0.08083 27.9998 66.3289 -13 20 1 0 1
6.1437 -5.2872 5100 0.0178597 -0.0024105 28 66.2956 -13 21 1 0 1
5.059 15.7445 5100 0.0384404 0.14374 27.9996 66.3163 -13 22 1 0 1
-2.56305 -0.259578 5100 0.0342466 -0.0237946 28 66.3548 -13 23 1 0 1
-2.63742 14.0337 5100 0.00796811 0.124764 27.9997 66.3399 -13 24 1 0 1
-6.99812 -9.99943 5100 -0.00967818 -0.116485 27.9998 66.3531 -13 25 1 0 1
-2.96473 -9.55242 5100 0.0148295 -0.0990758 27.9998 66.3456 -13 26 1 0 1
10.1089 -6.57535 5100 0.0491262 -0.0748062 27.9999 66.2931 -13 27 1 0 1
11.1832 -11.5147 5100 0.0518524 -0.120631 27.9997 66.2896 -13 28 1 0 1
-7.81623 -23.0143 5100 -0.00824682 -0.202111 27.9993 66.3619 -13 29 1 0 1
12.2959 -11.1904 5100 0.0609561 -0.118318 27.9997 66.2891 -13 30 1 0 1
10.4737 -1.91521 5100 0.0762689 -0.01779 27.9999 66.3082 -13 31 1 0 1
-8.39561 -26.6282 5100 -0.0231838 -0.294576 27.9984 66.3568 -13 32 1 0 1
8.46719 7.45509 5100 0.0363904 0.073223 27.9999 66.2945 -13 33 1 0 1
0.374892 -20.8617 5100 0.0163488 -0.120126 27.9997 66.3311 -13 34 1 0 1
3.19969 0.605427 5100 0.026448 0.004043 28 66.3172 -13 35 1 0 1
15.719 -21.358 5100 0.0656347 -0.179265 27.9993 66.2762 -13 36 1 0 1
32.9124 20.6725 5100 0.125327 0.208646 27.9989 66.2211 -13 37 1 0 1
19.041 -7.62084 5100 0.0977838 -0.102592 27.9996 66.2745 -13 38 1 0 1
9.92668 6.73448 5100 0.0574189 0.111532 27.9997 66.2997 -13 39 1 0 1
0.0739633 4.98109 5100 0.0451954 0.0272546 28 66.347 -13 40 1 0 1
10.052 -18.5988 5100 0.04406 -0.174534 27.9994 66.2928 -13 41 1 0 1
9.30932 53.8454 5100 0.0611801 0.545382 27.9946 66.33 -13 42 1 0 1
20.1002 -2.01087 5100 0.103555 0.00323284 27.9998 66.2721 -13 43 1 0 1
5.08971 -7.53559 5100 0.0334276 -0.0948561 27.9998 66.3116 -13 44 1 0 1
19.1647 13.5537 5100 0.0791183 0.125508 27.9996 66.2633 -13 45 1 0 1
-3.18835 -12.5928 5100 0.0459801 -0.0515142 27.9999 66.3688 -13 46 1 0 1
0.981496 9.32904 5100 0.0242736 0.0625447 27.9999 66.3291 -13 47 1 0 1
9.24026 0.596902 5100 0.0497824 -0.0219985 27.9999 66.2981 -13 48 1 0 1
