#BLTrackFile2 Z12500
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
22.0054 61.6945 12500 -0.807096 0.910865 27.9735 162.711 -13 1 1 0 1 -0.0017887 -0.0118355 0.00613889 0 0 0 157.282 12495.5 -0.0263008 0.0331785 0.999103 -18.2711 0.0687087 0 0 3.64712 
0.631421 -75.7744 12500 -0.501495 -1.12829 27.9728 162.76 -13 2 1 0 1 0.0020559 -0.0104687 -0.00685565 0 0 0 157.329 12499.2 -0.0156726 -0.0403097 0.999064 24.1057 3.44172 0 0 3.64712 
-24.9751 -43.7107 12500 -0.286945 -0.644635 27.9911 162.664 -13 3 1 0 1 0.00124995 -0.0114071 -0.0038751 0 0 0 157.236 12491.9 -0.0105548 -0.0258967 0.999609 15.1374 -3.46781 0 0 3.64712 
1.82454 -1.84119 12500 -0.610584 -0.0617236 27.9933 162.617 -13 4 1 0 1 5.46543e-05 -0.0129719 -0.000181811 0 0 0 157.191 12488.3 -0.0173538 -0.000294426 0.999849 1.9832 0.0415661 0 0 3.64712 
29.196 -1.71879 12500 -0.908495 -0.0138394 27.9853 162.595 -13 5 1 0 1 5.29686e-05 -0.0137969 -0.000185648 0 0 0 157.17 12486.6 -0.0332411 -0.000413573 0.999447 0.0959302 4.03973 0 0 3.64712 
-15.3657 -37.2437 12500 -0.405522 -0.564736 27.9914 162.656 -13 6 1 0 1 0.00106192 -0.011883 -0.00342103 0 0 0 157.229 12491.3 -0.014564 -0.0199894 0.999694 13.1196 -1.43483 0 0 3.64712 
4.77498 70.6766 12500 -0.559021 1.0426 27.975 162.738 -13 7 1 0 1 -0.00197614 -0.0108799 0.0065508 0 0 0 157.308 12497.6 -0.0173047 0.0391448 0.999084 -21.0446 -3.72744 0 0 3.64712 
36.8333 85.5537 12500 -1.0362 1.15399 27.957 162.822 -13 8 1 0 1 -0.00241006 -0.0105837 0.00847348 0 0 0 157.39 12504.1 -0.0346682 0.0425453 0.998493 -22.7148 3.27163 0 0 3.64712 
23.8016 51.1199 12500 -0.852648 0.788665 27.9759 162.679 -13 9 1 0 1 -0.00150321 -0.012428 0.00521012 0 0 0 157.251 12493 -0.0317076 0.0265046 0.999146 -15.6965 0.387485 0 0 3.64712 
6.45041 11.1465 12500 -0.647674 0.181435 27.9919 162.62 -13 10 1 0 1 -0.0003362 -0.0130573 0.00111852 0 0 0 157.194 12488.5 -0.0217063 0.010747 0.999707 -3.37225 0.0960781 0 0 3.64712 
-3.37501 -12.1658 12500 -0.576302 -0.192233 27.9934 162.616 -13 11 1 0 1 0.000353506 -0.0127543 -0.00117552 0 0 0 157.19 12488.2 -0.0204704 -0.00849894 0.999754 4.9412 -0.874347 0 0 3.64712 
3.20876 13.878 12500 -0.600665 0.216906 27.9927 162.63 -13 12 1 0 1 -0.00041321 -0.0129239 0.00137429 0 0 0 157.204 12489.3 -0.0186451 0.0145735 0.99972 -4.09976 -0.228467 0 0 3.64712 
-15.1277 -20.449 12500 -0.410095 -0.318633 27.9952 162.644 -13 13 1 0 1 0.000592546 -0.0123051 -0.00190642 0 0 0 157.218 12490.4 -0.0131759 -0.00660558 0.999891 7.82634 -1.65995 0 0 3.64712 
-28.5474 -20.1604 12500 -0.278026 -0.325999 27.9967 162.647 -13 14 1 0 1 0.000584988 -0.0119245 -0.00181172 0 0 0 157.22 12490.6 -0.00666941 -0.01121 0.999915 8.50964 -4.63584 0 0 3.64712 
-23.2041 3.17245 12500 -0.361023 0.00116925 27.9977 162.633 -13 15 1 0 1 -9.39172e-05 -0.0122331 0.000291949 0 0 0 157.207 12489.5 -0.00699036 -0.000730294 0.999975 1.55047 -4.85389 0 0 3.64712 
15.1733 -19.1561 12500 -0.748394 -0.303643 27.9883 162.613 -13 16 1 0 1 0.000576925 -0.0132099 -0.00196757 0 0 0 157.188 12488 -0.0261793 -0.00968885 0.99961 6.48226 2.952 0 0 3.64712 
