#BLTrackFile2 Z800
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-16.4268 -3.48291 800 0.267404 -0.526455 27.9938 10.4177 -13 1 1 0 1 -0.002332 -0.000494443 -0.243302 0 0 0 10.0701 800.031 0.00904685 -0.0206274 0.999746 -18.2711 0.0687087 0 0 3.64712 
22.6359 10.1581 800 -0.493097 0.773781 27.985 10.4183 -13 2 1 0 1 0.00320435 0.00143798 -0.243552 0 0 0 10.0706 800.077 -0.0184923 0.0266387 0.999474 24.1057 3.44172 0 0 3.64712 
15.6819 -1.63757 800 -0.02841 0.494596 27.9956 10.4175 -13 3 1 0 1 0.00222667 -0.000232517 -0.243279 0 0 0 10.0699 800.021 -0.00249224 0.0203829 0.999789 15.1374 -3.46781 0 0 3.64712 
3.23828 3.459 800 -0.0976438 0.199863 27.9991 10.4174 -13 4 1 0 1 0.000460615 0.000492011 -0.243113 0 0 0 10.0698 800.01 -0.00417953 0.00310629 0.999986 1.9832 0.0415661 0 0 3.64712 
-2.00371 3.11179 800 -0.136761 -0.120254 27.9994 10.4173 -13 5 1 0 1 -0.00028501 0.000442624 -0.243105 0 0 0 10.0697 800.004 -0.00387058 -0.00306544 0.999988 0.0959302 4.03973 0 0 3.64712 
12.0232 1.79349 800 -0.172896 0.412806 27.9964 10.4175 -13 6 1 0 1 0.00170872 0.000254889 -0.243199 0 0 0 10.0699 800.018 -0.00543841 0.0153722 0.999867 13.1196 -1.43483 0 0 3.64712 
-18.5978 -6.94005 800 0.387318 -0.550905 27.9919 10.4178 -13 7 1 0 1 -0.00263902 -0.000984792 -0.24337 0 0 0 10.0702 800.04 0.0143133 -0.0223381 0.999648 -21.0446 -3.72744 0 0 3.64712 
-21.8872 -1.30814 800 0.210041 -0.727878 27.9897 10.4179 -13 8 1 0 1 -0.0031024 -0.000185422 -0.243445 0 0 0 10.0703 800.05 0.00765048 -0.0280793 0.999576 -22.7148 3.27163 0 0 3.64712 
-15.2603 -5.77562 800 0.30035 -0.587916 27.9922 10.4178 -13 9 1 0 1 -0.00216658 -0.000819992 -0.243292 0 0 0 10.0702 800.045 0.0105235 -0.0184074 0.999775 -15.6965 0.387485 0 0 3.64712 
-4.83755 2.14803 800 -0.105141 -0.0830151 27.9997 10.4173 -13 10 1 0 1 -0.000688097 0.000305537 -0.243117 0 0 0 10.0697 800.006 -0.000719952 -0.00600819 0.999982 -3.37225 0.0960781 0 0 3.64712 
