#BLTrackFile NTuple/Z9800
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
26.6208 -75.9308 9800 0.256055 1.02766 27.98 127.742 -13 1 1 0 1
0.270017 97.4624 9800 -0.0958487 -1.28586 27.9703 127.558 -13 2 1 0 1
-28.7316 55.7041 9800 -0.471859 -0.734908 27.9864 127.283 -13 3 1 0 1
1.648 6.27705 9800 -0.0492984 -0.0585939 27.9999 127.517 -13 4 1 0 1
32.3477 0.738447 9800 0.352798 -0.0198514 27.9978 127.741 -13 5 1 0 1
-17.6143 48.9706 9800 -0.315999 -0.644501 27.9908 127.375 -13 6 1 0 1
4.84595 -88.9968 9800 -0.023099 1.1915 27.9746 127.589 -13 7 1 0 1
49.7311 -93.0729 9800 0.527744 1.30387 27.9646 127.955 -13 8 1 0 1
29.0337 -66.3726 9800 0.281924 0.876257 27.9849 127.742 -13 9 1 0 1
6.22184 -15.6393 9800 0.0186648 0.202445 27.9993 127.559 -13 10 1 0 1
-2.77898 16.6034 9800 -0.128064 -0.217518 27.9989 127.468 -13 11 1 0 1
1.88841 -18.5309 9800 -0.0275023 0.2456 27.9989 127.537 -13 12 1 0 1
-18.2027 27.7857 9800 -0.300334 -0.361514 27.9961 127.379 -13 13 1 0 1
-32.7182 28.9238 9800 -0.503841 -0.360817 27.9931 127.256 -13 14 1 0 1
-25.5806 1.30691 9800 -0.417379 0.0185825 27.9969 127.303 -13 15 1 0 1
16.626 25.7268 9800 0.145375 -0.339356 27.9976 127.629 -13 16 1 0 1
30.137 10.3674 9800 0.316168 -0.148549 27.9978 127.72 -13 17 1 0 1
31.1457 -28.2574 9800 0.332514 0.371867 27.9956 127.736 -13 18 1 0 1
18.7425 -52.0241 9800 0.152041 0.676709 27.9914 127.648 -13 19 1 0 1
4.53842 -39.7916 9800 -0.0148959 0.538058 27.9948 127.546 -13 20 1 0 1
5.03903 17.9551 9800 -0.0274399 -0.251911 27.9989 127.523 -13 21 1 0 1
5.06467 -33.5247 9800 -0.0153122 0.431318 27.9967 127.541 -13 22 1 0 1
-6.44309 -2.61982 9800 -0.151639 0.0434641 27.9996 127.46 -13 23 1 0 1
-8.86966 -30.4929 9800 -0.197986 0.391683 27.9966 127.434 -13 24 1 0 1
-16.7209 17.6328 9800 -0.300595 -0.213416 27.9976 127.373 -13 25 1 0 1
-8.76469 18.6257 9800 -0.192795 -0.232212 27.9984 127.436 -13 26 1 0 1
13.6734 11.8336 9800 0.0963723 -0.145404 27.9995 127.595 -13 27 1 0 1
15.4907 22.2939 9800 0.119578 -0.280554 27.9983 127.611 -13 28 1 0 1
-17.9905 50.5885 9800 -0.315299 -0.655185 27.9906 127.378 -13 29 1 0 1
17.9336 21.542 9800 0.154487 -0.270857 27.9983 127.631 -13 30 1 0 1
16.6339 4.03594 9800 0.150658 -0.0518617 27.9995 127.629 -13 31 1 0 1
-20.0578 49.6229 9800 -0.348373 -0.615251 27.9911 127.358 -13 32 1 0 1
10.0801 -15.0918 9800 0.0443863 0.191484 27.9993 127.566 -13 33 1 0 1
-4.06701 54.8795 9800 -0.141018 -0.740455 27.9899 127.481 -13 34 1 0 1
1.41224 -1.50484 9800 -0.0646083 0.0199496 27.9999 127.504 -13 35 1 0 1
23.066 48.2519 9800 0.212938 -0.637103 27.9919 127.679 -13 36 1 0 1
53.8045 -42.6401 9800 0.61745 0.568119 27.9874 127.917 -13 37 1 0 1
31.2831 11.605 9800 0.339659 -0.135933 27.9976 127.736 -13 38 1 0 1
14.1862 -7.01073 9800 0.109041 0.0667014 27.9997 127.603 -13 39 1 0 1
-1.64662 -13.283 9800 -0.088739 0.178332 27.9993 127.497 -13 40 1 0 1
12.8415 39.0103 9800 0.0783407 -0.5021 27.9954 127.597 -13 41 1 0 1
11.3084 -109.169 9800 0.0394076 1.42243 27.9638 127.671 -13 42 1 0 1
33.4131 7.50451 9800 0.369633 -0.107939 27.9974 127.753 -13 43 1 0 1
4.79167 12.1877 9800 -0.0203961 -0.143974 27.9996 127.531 -13 44 1 0 1
29.7578 -29.0148 9800 0.307376 0.377749 27.9958 127.72 -13 45 1 0 1
-6.58827 36.2792 9800 -0.148435 -0.494423 27.9952 127.474 -13 46 1 0 1
-2.08992 -23.1785 9800 -0.107403 0.307318 27.9981 127.484 -13 47 1 0 1
12.4656 -5.28618 9800 0.0828431 0.0808568 27.9998 127.587 -13 48 1 0 1
0.529776 40.6069 9800 -0.0726662 -0.500739 27.9954 127.516 -13 49 1 0 1
22.0138 17.3404 9800 0.210123 -0.231239 27.9983 127.662 -13 50 1 0 1
-2.33332 -40.2333 9800 -0.120758 0.534412 27.9946 127.483 -13 51 1 0 1
-47.9678 -3.80207 9800 -0.694657 0.059169 27.9913 127.133 -13 52 1 0 1
1.1521 14.2285 9800 -0.0624465 -0.177632 27.9994 127.509 -13 53 1 0 1
-11.9682 -4.15304 9800 -0.236804 0.052577 27.9989 127.407 -13 54 1 0 1
-24.0821 -17.8748 9800 -0.396917 0.238076 27.9962 127.316 -13 55 1 0 1
22.805 12.1852 9800 0.209616 -0.136361 27.9989 127.657 -13 56 1 0 1
6.63901 -50.5978 9800 -0.0118212 0.662614 27.9922 127.551 -13 57 1 0 1
-7.22068 -26.2351 9800 -0.169457 0.347195 27.9973 127.45 -13 58 1 0 1
-9.32711 1.63618 9800 -0.207558 -0.0407498 27.9992 127.422 -13 59 1 0 1
17.2912 -23.2353 9800 0.163041 0.324534 27.9976 127.639 -13 60 1 0 1
36.7512 -1.74786 9800 0.404983 0.0262013 27.9971 127.77 -13 61 1 0 1
16.8371 75.919 9800 0.138542 -1.02924 27.9807 127.672 -13 62 1 0 1
-18.4407 -9.8042 9800 -0.304163 0.111846 27.9981 127.373 -13 63 1 0 1
11.3694 -11.1713 9800 0.0864639 0.12385 27.9996 127.597 -13 64 1 0 1
8.58614 27.3549 9800 0.0426719 -0.375668 27.9974 127.574 -13 65 1 0 1
24.1644 -52.7057 9800 0.237311 0.707896 27.99 127.7 -13 66 1 0 1
-24.3606 -17.3985 9800 -0.415551 0.237679 27.9959 127.302 -13 67 1 0 1
-20.4209 12.9218 9800 -0.34115 -0.163858 27.9974 127.349 -13 68 1 0 1
30.4327 14.2426 9800 0.325272 -0.184878 27.9975 127.728 -13 69 1 0 1
46.2232 -20.0704 9800 0.536498 0.269934 27.9936 127.853 -13 70 1 0 1
7.53064 31.9188 9800 -0.000824608 -0.411105 27.997 127.542 -13 71 1 0 1
-6.96913 -5.5063 9800 -0.169387 0.0438884 27.9995 127.446 -13 72 1 0 1
-13.5181 27.799 9800 -0.264029 -0.341679 27.9967 127.394 -13 73 1 0 1
-27.8636 16.311 9800 -0.443895 -0.233593 27.9955 127.288 -13 74 1 0 1
-2.07993 3.29873 9800 -0.10677 -0.0458054 27.9998 127.481 -13 75 1 0 1
10.9408 -8.76301 9800 0.0527718 0.110743 27.9997 127.568 -13 76 1 0 1
-7.72052 52.6526 9800 -0.193119 -0.678558 27.9911 127.449 -13 77 1 0 1
-5.33395 -36.411 9800 -0.163169 0.484956 27.9953 127.457 -13 78 1 0 1
0.863452 -37.737 9800 -0.075847 0.504435 27.9954 127.509 -13 79 1 0 1
23.379 46.8646 9800 0.216448 -0.611507 27.9925 127.68 -13 80 1 0 1
18.2022 43.0162 9800 0.155278 -0.547244 27.9942 127.646 -13 81 1 0 1
15.0253 -0.365483 9800 0.118406 0.00302329 27.9997 127.607 -13 82 1 0 1
-27.7527 -1.60333 9800 -0.426499 0.0205094 27.9967 127.301 -13 83 1 0 1
8.28391 -60.4433 9800 0.0205625 0.803754 27.9885 127.58 -13 84 1 0 1
-12.1001 8.25569 9800 -0.239956 -0.123357 27.9987 127.405 -13 85 1 0 1
-17.4532 -2.39686 9800 -0.320038 0.00568522 27.9982 127.356 -13 86 1 0 1
34.9135 -12.157 9800 0.40198 0.185531 27.9965 127.775 -13 87 1 0 1
18.921 21.6897 9800 0.148827 -0.270371 27.9983 127.623 -13 88 1 0 1
9.70999 -13.9526 9800 0.0522144 0.18567 27.9993 127.573 -13 89 1 0 1
16.062 36.4245 9800 0.124485 -0.475632 27.9957 127.622 -13 90 1 0 1
-34.9582 30.8609 9800 -0.564487 -0.400617 27.9914 127.213 -13 91 1 0 1
18.996 -23.9435 9800 0.172302 0.313595 27.9977 127.642 -13 92 1 0 1
7.85116 -12.1375 9800 0.0169718 0.150328 27.9996 127.55 -13 93 1 0 1
-21.9794 41.6906 9800 -0.370433 -0.564643 27.9919 127.338 -13 94 1 0 1
-24.6941 -18.0869 9800 -0.393173 0.226244 27.9963 127.321 -13 95 1 0 1
-9.30272 -18.8221 9800 -0.216653 0.246583 27.9981 127.418 -13 96 1 0 1
-11.6505 58.694 9800 -0.236934 -0.726283 27.9896 127.434 -13 97 1 0 1
28.109 33.2815 9800 0.283824 -0.418316 27.9954 127.709 -13 98 1 0 1
-43.1278 60.0171 9800 -0.628147 -0.814342 27.9811 127.191 -13 99 1 0 1
-4.62028 -36.1437 9800 -0.144332 0.485219 27.9954 127.47 -13 100 1 0 1
22.4965 20.5998 9800 0.212851 -0.249131 27.9981 127.665 -13 101 1 0 1
0.921651 -23.34 9800 -0.0799466 0.32544 27.998 127.496 -13 102 1 0 1
59.638 -64.7037 9800 0.688344 0.906469 27.9769 127.99 -13 103 1 0 1
-13.388 -37.8272 9800 -0.255454 0.491421 27.9945 127.407 -13 104 1 0 1
3.20472 -40.6652 9800 -0.0517387 0.532796 27.9949 127.522 -13 105 1 0 1
-14.7943 -5.96381 9800 -0.275647 0.0716218 27.9986 127.384 -13 106 1 0 1
22.0826 -39.8402 9800 0.216394 0.50853 27.9945 127.681 -13 107 1 0 1
5.12639 33.5378 9800 -0.0228612 -0.455838 27.9963 127.535 -13 108 1 0 1
19.8787 7.89451 9800 0.191342 -0.0904397 27.9992 127.652 -13 109 1 0 1
-15.423 17.2627 9800 -0.297546 -0.225892 27.9975 127.37 -13 110 1 0 1
0.21385 -9.19707 9800 -0.0957434 0.1217 27.9996 127.483 -13 111 1 0 1
42.7348 -22.5538 9800 0.495724 0.315035 27.9938 127.83 -13 112 1 0 1
25.9411 4.32284 9800 0.261954 -0.0578435 27.9987 127.688 -13 113 1 0 1
21.6797 -23.2778 9800 0.20102 0.298171 27.9977 127.656 -13 114 1 0 1
2.89702 36.6704 9800 -0.0538546 -0.49316 27.9956 127.519 -13 115 1 0 1
30.2308 -151.86 9800 0.177712 2.09619 27.9209 127.905 -13 116 1 0 1
21.4041 -59.6865 9800 0.190231 0.773216 27.9887 127.681 -13 117 1 0 1
-3.29788 52.4844 9800 -0.138768 -0.672527 27.9916 127.48 -13 118 1 0 1
13.8318 82.1917 9800 0.0764792 -1.09697 27.9784 127.637 -13 119 1 0 1
3.67823 -5.10673 9800 -0.0360202 0.05223 27.9999 127.52 -13 120 1 0 1
15.5191 43.9271 9800 0.113915 -0.588728 27.9936 127.617 -13 121 1 0 1
2.90048 15.7634 9800 -0.0515144 -0.215913 27.9991 127.511 -13 122 1 0 1
-51.8831 50.2559 9800 -0.724965 -0.652843 27.983 127.125 -13 123 1 0 1
-8.57408 25.6151 9800 -0.194691 -0.316291 27.9975 127.435 -13 124 1 0 1
-10.5064 -1.81525 9800 -0.223077 0.0115114 27.9991 127.413 -13 125 1 0 1
22.2548 -22.6046 9800 0.206519 0.283276 27.9978 127.66 -13 126 1 0 1
18.7777 -97.7768 9800 0.123147 1.28676 27.9701 127.699 -13 127 1 0 1
-11.4212 -7.58887 9800 -0.225607 0.0936535 27.9989 127.415 -13 128 1 0 1
44.1643 0.720225 9800 0.502 -0.00651747 27.9955 127.826 -13 129 1 0 1
5.44784 -13.062 9800 -0.00387223 0.186623 27.9994 127.542 -13 130 1 0 1
-14.3874 10.1657 9800 -0.283844 -0.12294 27.9983 127.377 -13 131 1 0 1
15.8255 -46.58 9800 0.120572 0.628801 27.9927 127.624 -13 132 1 0 1
-10.0418 5.08568 9800 -0.208512 -0.0650627 27.9991 127.424 -13 133 1 0 1
7.31197 26.7578 9800 0.0100132 -0.356797 27.9977 127.549 -13 134 1 0 1
-5.03508 -48.6955 9800 -0.143433 0.647225 27.9922 127.477 -13 135 1 0 1
32.5344 36.686 9800 0.355142 -0.48015 27.9936 127.759 -13 136 1 0 1
19.5089 -40.6544 9800 0.164758 0.507469 27.9949 127.648 -13 137 1 0 1
4.80113 -42.4782 9800 -0.0157865 0.514186 27.9953 127.55 -13 138 1 0 1
13.4341 17.4316 9800 0.105741 -0.26409 27.9986 127.604 -13 139 1 0 1
-0.973335 9.48113 9800 -0.100329 -0.127885 27.9995 127.484 -13 140 1 0 1
-18.7734 17.9185 9800 -0.33244 -0.228263 27.9971 127.352 -13 141 1 0 1
38.161 -26.5417 9800 0.426916 0.351809 27.9945 127.791 -13 142 1 0 1
14.8054 -12.327 9800 0.111133 0.1482 27.9994 127.604 -13 143 1 0 1
-23.6548 42.1445 9800 -0.394254 -0.564165 27.9915 127.324 -13 144 1 0 1
