#BLTrackFile2 Z17700
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-51.2431 -62.5034 17700 -1.73542 0.991779 27.9286 230.565 -13 1 1 0 1 0.00027752 0.000349465 0.0101889 0 0 0 222.872 17706.4 -0.0594922 0.036051 0.997578 -18.2711 0.0687087 0 0 3.64712 
5.54762 81.4871 17700 0.194923 -1.32036 27.9682 230.68 -13 2 1 0 1 0.000106427 -5.97538e-05 0.00143145 0 0 0 222.983 17715.2 0.00922997 -0.0471542 0.998845 24.1057 3.44172 0 0 3.64712 
61.6252 39.9062 17700 2.1146 -0.558504 27.9145 230.453 -13 3 1 0 1 -0.000202805 -5.79894e-05 0.00781881 0 0 0 222.763 17697.8 0.0753318 -0.0228192 0.996897 15.1374 -3.46781 0 0 3.64712 
-0.482497 0.100068 17700 -0.00250946 0.0467411 28 230.329 -13 4 1 0 1 8.08489e-07 -3.90371e-06 -1.39455e-07 0 0 0 222.644 17688.3 0.00438966 0.00358528 0.999984 1.9832 0.0415661 0 0 3.64712 
-60.0837 1.66344 17700 -2.02526 -0.0301351 27.9266 230.321 -13 5 1 0 1 -3.88713e-06 -0.000263888 -0.000313479 0 0 0 222.636 17687.7 -0.0731718 -0.000996479 0.997319 0.0959302 4.03973 0 0 3.64712 
38.1953 31.9592 17700 1.31025 -0.371817 27.9669 230.419 -13 6 1 0 1 8.10467e-05 0.000128998 0.00384473 0 0 0 222.731 17695.2 0.0467871 -0.0130916 0.998819 13.1196 -1.43483 0 0 3.64712 
-4.74205 -74.745 17700 -0.157212 1.18545 27.9745 230.628 -13 7 1 0 1 -0.000172312 3.75823e-05 0.00111961 0 0 0 222.933 17711.2 -0.00291897 0.0442263 0.999017 -21.0446 -3.72744 0 0 3.64712 
-104.429 -96.0224 17700 -3.62924 2.14569 27.6808 230.831 -13 8 1 0 1 0.00337661 0.00340638 0.0309749 0 0 0 223.129 17726.8 -0.127381 0.0779904 0.988783 -22.7148 3.27163 0 0 3.64712 
-56.1457 -47.8573 17700 -1.89033 0.668622 27.9281 230.493 -13 9 1 0 1 0.00019725 0.000140496 0.00853844 0 0 0 222.802 17700.8 -0.0688228 0.0222215 0.997381 -15.6965 0.387485 0 0 3.64712 
-8.55808 -7.67295 17700 -0.280606 0.0385031 27.9986 230.337 -13 10 1 0 1 -6.01852e-05 -6.74409e-05 0.000189663 0 0 0 222.651 17688.9 -0.00857414 0.00563389 0.999947 -3.37225 0.0960781 0 0 3.64712 
6.77805 8.63406 17700 0.253752 -0.0532844 27.9988 230.333 -13 11 1 0 1 6.81723e-05 5.32328e-05 0.00016903 0 0 0 222.647 17688.6 0.00921289 -0.00353031 0.999951 4.9412 -0.874347 0 0 3.64712 
0.313078 -9.96541 17700 0.0140261 0.0654321 27.9999 230.349 -13 12 1 0 1 -8.05633e-05 2.44725e-06 -9.01139e-06 0 0 0 222.663 17689.8 0.00334768 0.00915173 0.999953 -4.09976 -0.228467 0 0 3.64712 
38.5156 15.3716 17700 1.31315 -0.12698 27.9689 230.375 -13 13 1 0 1 5.24955e-05 0.000220738 0.00184664 0 0 0 222.689 17691.8 0.0484286 0.000251859 0.998827 7.82634 -1.65995 0 0 3.64712 
65.7361 14.9151 17700 2.24989 -0.125014 27.9092 230.389 -13 14 1 0 1 -7.13808e-05 0.000188273 0.00309986 0 0 0 222.702 17692.9 0.0837104 -0.00401418 0.996482 8.50964 -4.63584 0 0 3.64712 
50.0837 -3.95994 17700 1.72162 0.0959853 27.9469 230.356 -13 15 1 0 1 -3.28316e-06 0.000270745 -0.000618022 0 0 0 222.67 17690.3 0.0674673 0.00265737 0.997718 1.55047 -4.85389 0 0 3.64712 
-29.1808 13.9781 17700 -0.974741 -0.099282 27.9829 230.341 -13 16 1 0 1 7.43553e-05 -0.000190307 -0.00125834 0 0 0 222.655 17689.2 -0.0342762 -0.00237977 0.99941 6.48226 2.952 0 0 3.64712 
-56.0801 6.89733 17700 -1.88522 -0.067199 27.9364 230.322 -13 17 1 0 1 -7.35818e-06 -0.000258796 -0.00121039 0 0 0 222.637 17687.7 -0.0686814 -0.00366734 0.997632 2.52433 3.88685 0 0 3.64712 
-58.2158 -15.7137 17700 -1.96041 0.129921 27.931 230.349 -13 18 1 0 1 3.36268e-05 -0.000218201 0.00288539 0 0 0 222.663 17689.8 -0.0697006 0.00408591 0.99756 -6.8342 2.4987 0 0 3.64712 
-34.4677 -31.7492 17700 -1.14682 0.329575 27.9746 230.409 -13 19 1 0 1 -0.000106594 -0.000127498 0.00344112 0 0 0 222.721 17694.4 -0.0420896 0.00994194 0.999064 -12.1188 -0.62225 0 0 3.64712 
-5.16201 -25.4766 17700 -0.163654 0.255942 27.9984 230.381 -13 20 1 0 1 -0.000183058 -3.14018e-05 0.000401168 0 0 0 222.694 17692.2 -0.00195557 0.0107527 0.99994 -9.23793 -1.61599 0 0 3.64712 
-8.12906 11.5087 17700 -0.250189 -0.102631 27.9987 230.327 -13 21 1 0 1 8.90989e-05 -6.234e-05 -0.000273281 0 0 0 222.642 17688.1 -0.0113264 -0.00597259 0.999918 5.19689 0.213197 0 0 3.64712 
-7.06764 -17.4981 17700 -0.222177 0.120002 27.9989 230.357 -13 22 1 0 1 -0.000131544 -5.00759e-05 0.000370443 0 0 0 222.671 17690.4 -0.00795259 0.00470791 0.999957 -7.47099 -1.56257 0 0 3.64712 
15.0642 -2.51226 17700 0.522002 0.032157 27.9951 230.338 -13 23 1 0 1 -1.83784e-05 0.000116696 -0.000112489 0 0 0 222.653 17689 0.0215022 0.0046369 0.999758 0.102002 -1.35509 0 0 3.64712 
19.7024 -15.9078 17700 0.684 0.112187 27.9914 230.361 -13 24 1 0 1 -0.000105919 0.000135785 -0.000953942 0 0 0 222.675 17690.7 0.0247869 0.00460413 0.999682 -6.33421 -3.53225 0 0 3.64712 
33.8178 7.16469 17700 1.16536 -0.0189763 27.9757 230.352 -13 25 1 0 1 3.35669e-05 0.000223748 0.000746874 0 0 0 222.666 17690 0.0447073 -0.000369567 0.999 5.37369 -2.60923 0 0 3.64712 
18.9689 8.25962 17700 0.659449 -0.0319046 27.9922 230.346 -13 26 1 0 1 5.7326e-05 0.000141122 0.000471045 0 0 0 222.661 17689.6 0.0259069 0.000243825 0.999664 5.39547 -1.15456 0 0 3.64712 
