2000
x y z px py pz
0.000000000e+00 0.000000000e+00 0.0 -4.782733001e-02 -3.427353037e-02 2.583902720e-01
0.000000000e+00 0.000000000e+00 0.0 4.207346793e-02 -5.357039138e-02 2.561009518e-01
0.000000000e+00 0.000000000e+00 0.0 -2.977579910e-02 1.163892279e-02 2.630695694e-01
0.000000000e+00 0.000000000e+00 0.0 -8.804206791e-03 -4.320890996e-02 2.613104229e-01
0.000000000e+00 0.000000000e+00 0.0 -2.594048429e-03 -8.866600964e-03 2.648439453e-01
0.000000000e+00 0.000000000e+00 0.0 -2.540269918e-02 -4.516731090e-03 2.637460200e-01
0.000000000e+00 0.000000000e+00 0.0 -4.611654762e-02 -2.891997550e-02 2.593541211e-01
0.000000000e+00 0.000000000e+00 0.0 2.217481324e-02 2.518854488e-02 2.628715959e-01
0.000000000e+00 0.000000000e+00 0.0 1.238896477e-02 2.017059386e-02 2.639456796e-01
0.000000000e+00 0.000000000e+00 0.0 -6.520506703e-02 2.845867983e-03 2.568420942e-01
0.000000000e+00 0.000000000e+00 0.0 7.716864617e-02 1.805786929e-02 2.528765993e-01
0.000000000e+00 0.000000000e+00 0.0 3.292455776e-02 2.755512523e-02 2.615040146e-01
0.000000000e+00 0.000000000e+00 0.0 -2.600621068e-02 -1.242181283e-02 2.634331730e-01
0.000000000e+00 0.000000000e+00 0.0 3.079593833e-02 1.831163948e-02 2.625718094e-01
0.000000000e+00 0.000000000e+00 0.0 -1.605638079e-02 2.810042205e-03 2.645032275e-01
0.000000000e+00 0.000000000e+00 0.0 -2.090665879e-03 -2.050468723e-03 2.649888408e-01
0.000000000e+00 0.000000000e+00 0.0 2.697350584e-02 -1.777989694e-02 2.630284515e-01
0.000000000e+00 0.000000000e+00 0.0 -4.177083592e-02 5.573909288e-02 2.556873322e-01
0.000000000e+00 0.000000000e+00 0.0 1.977146860e-02 9.167405472e-03 2.641073811e-01
0.000000000e+00 0.000000000e+00 0.0 4.659826951e-02 -4.906020788e-02 2.562213074e-01
0.000000000e+00 0.000000000e+00 0.0 4.482677882e-02 1.466205363e-02 2.607743184e-01
0.000000000e+00 0.000000000e+00 0.0 -9.774258289e-03 -8.481921533e-02 2.508741231e-01
0.000000000e+00 0.000000000e+00 0.0 3.088297175e-02 7.099541977e-03 2.631035911e-01
0.000000000e+00 0.000000000e+00 0.0 -5.444647248e-02 2.357451269e-02 2.582779221e-01
0.000000000e+00 0.000000000e+00 0.0 -5.366537327e-03 4.581247620e-02 2.609599172e-01
0.000000000e+00 0.000000000e+00 0.0 1.545590671e-02 4.988918211e-03 2.645068746e-01
0.000000000e+00 0.000000000e+00 0.0 -4.538211220e-02 -2.573285465e-02 2.598190623e-01
0.000000000e+00 0.000000000e+00 0.0 -2.734435076e-03 6.258353854e-02 2.574946303e-01
0.000000000e+00 0.000000000e+00 0.0 5.754637556e-02 3.230943808e-02 2.566557538e-01
0.000000000e+00 0.000000000e+00 0.0 8.443338220e-02 3.949428668e-02 2.480702851e-01
0.000000000e+00 0.000000000e+00 0.0 2.662290209e-02 -1.076514700e-02 2.634444795e-01
0.000000000e+00 0.000000000e+00 0.0 2.830666511e-02 1.939115055e-02 2.627743843e-01
0.000000000e+00 0.000000000e+00 0.0 -3.191810280e-02 -6.050364099e-02 2.560238372e-01
0.000000000e+00 0.000000000e+00 0.0 -4.110164910e-02 1.394038621e-02 2.614268179e-01
0.000000000e+00 0.000000000e+00 0.0 -4.612747502e-02 -7.055136575e-02 2.512417599e-01
0.000000000e+00 0.000000000e+00 0.0 1.842796203e-02 -3.703322484e-02 2.617567794e-01
0.000000000e+00 0.000000000e+00 0.0 2.529296343e-02 -5.136605371e-02 2.587459286e-01
0.000000000e+00 0.000000000e+00 0.0 -2.239687582e-02 3.646408536e-02 2.615270760e-01
0.000000000e+00 0.000000000e+00 0.0 -4.155120823e-02 2.880169768e-02 2.601376950e-01
0.000000000e+00 0.000000000e+00 0.0 8.836497160e-03 -2.233991673e-02 2.639138221e-01
0.000000000e+00 0.000000000e+00 0.0 1.064950990e-02 3.965848323e-02 2.618042278e-01
0.000000000e+00 0.000000000e+00 0.0 -4.505891642e-03 3.943972944e-04 2.649664176e-01
0.000000000e+00 0.000000000e+00 0.0 4.175702638e-02 -6.718620416e-02 2.529229641e-01
0.000000000e+00 0.000000000e+00 0.0 -3.196808382e-03 -1.563040970e-02 2.645243501e-01
0.000000000e+00 0.000000000e+00 0.0 -2.219707642e-03 -5.998589868e-02 2.581170779e-01
0.000000000e+00 0.000000000e+00 0.0 -3.778856004e-02 1.282691594e-04 2.622969107e-01
0.000000000e+00 0.000000000e+00 0.0 4.679732575e-03 1.000430102e-02 2.647747630e-01
0.000000000e+00 0.000000000e+00 0.0 4.547080963e-02 -2.719107436e-02 2.596549865e-01
0.000000000e+00 0.000000000e+00 0.0 2.096763856e-03 2.529965626e-02 2.637862620e-01
0.000000000e+00 0.000000000e+00 0.0 2.423367791e-03 3.348695141e-02 2.628695731e-01
0.000000000e+00 0.000000000e+00 0.0 1.480150931e-02 -3.277096888e-02 2.625540706e-01
0.000000000e+00 0.000000000e+00 0.0 9.533309132e-03 1.712615822e-02 2.642791550e-01
0.000000000e+00 0.000000000e+00 0.0 1.822004862e-02 -5.719513551e-03 2.643160571e-01
0.000000000e+00 0.000000000e+00 0.0 1.842670874e-02 -1.197234104e-02 2.640923712e-01
0.000000000e+00 0.000000000e+00 0.0 2.078533097e-02 5.419274266e-02 2.585706436e-01
0.000000000e+00 0.000000000e+00 0.0 -2.710956296e-02 -2.626992817e-02 2.623025420e-01
0.000000000e+00 0.000000000e+00 0.0 1.031287947e-02 -1.452652779e-02 2.644055324e-01
0.000000000e+00 0.000000000e+00 0.0 -5.404568788e-02 -4.460556499e-03 2.593970472e-01
0.000000000e+00 0.000000000e+00 0.0 9.166235876e-03 1.731753718e-02 2.642796702e-01
